flownumberfrom,flownumberto,parentflownumberfrom,parentflownumberto,navigation,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,0,0,0,0-0-0-0,2318.719,230.541,1886.323,2756.241,0.833,0.593,76535,34523,1
0,0,0,0,0-0-0-0,220.901,1240.51,-2121.838,2575.555,7.138,5.48,30460,30656,1
0,0,0,0,0-0-0-0,460.079,2120.127,-3328.724,4654.697,12.317,9.238,29742,28737,1
0,0,0,0,0-0-0-0,-1344.491,2449.917,-5752.525,3511.661,13.669,10.617,32228,31464,1
0,0,0,0,0-0-0-0,-1973.278,2168.511,-6087.012,2012.691,12.443,9.348,30577,28423,1
0,0,0,0,0-0-0-0,59.892,383.174,-655.614,789.892,1.788,1.694,46147,34166,1
0,0,0,0,0-0-0-0,6536.063,1855.898,3004.546,9990.929,11.227,7.938,27304,28617,1
0,0,0,0,0-0-0-0,9927.539,2662.335,5006.02,14993.459,17.499,12.374,23078,26438,1
0,0,0,0,0-0-0-0,24377.541,7425.66,10631.694,38520.17,46.833,33.139,25183,26944,1
0,0,0,0,0-0-0-0,609.741,551.573,-438.652,1634.906,3.193,2.258,29750,31829,1
0,0,0,0,0-0-0-0,-9089.111,3505.806,-15778.617,-2681.197,20.42,14.658,29599,29611,1
0,0,0,0,0-0-0-0,20849.418,7818.343,7733.407,35200.475,51.924,36.981,22711,22749,1
0,0,0,0,0-0-0-0,5063.337,3349.086,-162.031,11058.323,16.897,12.388,36546,23968,1
0,0,0,0,0-0-0-0,813.608,506.048,-105.38,1770.675,2.417,1.713,43016,35532,1
0,0,0,0,0-0-0-0,1218.033,682.773,26.765,2532.296,3.328,2.369,40910,35719,1
0,0,0,0,0-0-0-0,3822.725,1957.999,499.025,7494.35,9.345,6.945,43318,33322,1
0,0,0,0,0-0-0-0,66.99,258.384,-428.725,545.513,0.941,1.364,75402,33296,1
0,0,0,0,0-0-0-0,8105.818,4377.754,1133.746,16000.382,23.014,16.719,35098,29109,1
0,0,0,0,0-0-0-0,1987.953,1540.545,-973.267,4846.385,8.005,5.741,37089,35339,1
0,0,0,0,0-0-0-0,1104.78,400.153,345.149,1853.721,1.605,1.196,62114,37147,1
0,0,0,0,0-0-0-0,999.878,3150.294,-4847.078,7013.982,11.817,15.412,70989,32514,1
0,0,0,0,0-0-0-0,978.19,3183.623,-4896.926,7096.589,12.021,15.753,70145,32142,1
0,0,0,0,0-0-0-0,981.02,3181.031,-4901.048,6984.917,11.981,16.012,70572,29621,1
