From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Lithosphere,Extraction,40447.1948,2019,England,0,1,1,1,0-1,2-3-4-5-6-7-8-9-10-11-12
Terrestrial_reserves,Extraction_sand_lw,14716.14,2019,England,0,2,0,0,nan,nan
Terrestrial_reserves,Extraction_gravel_lw,6486.69,2019,England,0,3,0,0,nan,nan
Terrestrial_reserves,Extraction_crushed_rock_lw,8440,2019,England,0,4,0,0,nan,nan
Terrestrial_reserves,Extraction_gypsum,530,2019,England,0,8,0,0,nan,nan
Terrestrial_reserves,Extraction_limestone,476,2019,England,0,7,0,0,nan,nan
Terrestrial_reserves,Extraction_clay,3532,2019,England,0,12,0,0,nan,nan
Terrestrial_reserves,Extraction_coal,1023.030758,2019,England,0,11,0,0,nan,nan
Terrestrial_reserves,Extraction_iron_ore,592.1640414,2019,England,0,9,0,0,nan,nan
Terrestrial_reserves,Extraction_dolomite,78,2019,England,0,10,0,0,nan,nan
Marine_reserves,Extraction_sand_md,2848.86,2019,England,1,5,0,0,nan,nan
Marine_reserves,Extraction_gravel_md,1724.31,2019,England,1,6,0,0,nan,nan
Extraction,Upstream_processing,34216,2019,England,1,2,1,1,2-3-4-5-6-7-8-9-10-11-12,13-14-15-16-17-18-19
Extraction_sand_lw,Sand_pr,14716.14,2019,England,2,13,0,0,nan,nan
Extraction_gravel_lw,Gravel_pr,6486.69,2019,England,3,14,0,0,nan,nan
Extraction_crushed_rock_lw,Crushed_rock_pr,8440,2019,England,4,15,0,0,nan,nan
Extraction_sand_md,Sand_pr,2848.86,2019,England,5,13,0,0,nan,nan
Extraction_gravel_md,Gravel_pr,1724.31,2019,England,6,14,0,0,nan,nan
Extraction,owp,0,2019,England,1,10,1,1,2-3-4-5-6-7-8-9-10-11-12,47-48
Extraction_sand_lw,owp_overburden_interburden,0,2019,England,2,47,0,0,nan,nan
Extraction_gravel_lw,owp_overburden_interburden,0,2019,England,3,47,0,0,nan,nan
Extraction_crushed_rock_lw,owp_overburden_interburden,0,2019,England,4,47,0,0,nan,nan
Extraction_sand_md,owp_overburden_interburden,0,2019,England,5,47,0,0,nan,nan
Extraction_gravel_md,owp_overburden_interburden,0,2019,England,6,47,0,0,nan,nan
Extraction,Cement_manufacturing,5199.5,2019,England,1,18,1,0,2-3-4-5-6-7-8-9-10-11-12,nan
Extraction_limestone,Cement_manufacturing,225.5,2019,England,7,18,0,0,nan,nan
Extraction_gypsum,Cement_manufacturing,530,2019,England,8,18,0,0,nan,nan
Extraction_clay,Cement_manufacturing,3532,2020,England,12,18,0,0,nan,nan
Extraction_coal,Cement_manufacturing,912,2019,England,11,18,0,0,nan,nan
Alternative_fuels,Cement_manufacturing,688,2019,England,61,18,0,0,nan,nan
Import,Cement_manufacturing,1046.296,2019,England,11,18,1,0,51-52-53-54-55-56-57-58-59-60,nan
Import_gypsum,Cement_manufacturing,265,2019,England,56,18,0,0,nan,nan
Import_limestone,Cement_manufacturing,0,2019,England,57,18,0,0,nan,nan
Import_clinker,Cement_manufacturing,781.296,2019,England,58,18,0,0,nan,nan
Extraction,Reinforcing_steel_manufacturing,1031.694799,2019,England,1,19,1,0,2-3-4-5-6-7-8-9-10-11-12,nan
Extraction_limestone,Reinforcing_steel_manufacturing,250.5,2019,England,7,19,0,0,nan,nan
Extraction_iron_ore,Reinforcing_steel_manufacturing,592.1640414,2019,England,9,19,0,0,nan,nan
Extraction_dolomite,Reinforcing_steel_manufacturing,78,2019,England,10,19,0,0,nan,nan
Extraction_coal,Reinforcing_steel_manufacturing,111.0307578,2019,England,11,19,0,0,nan,nan
Extraction,Landscape_geo,0,2019,England,1,8,1,1,2-3-4-5-6-7-8-9-10-11-12,40-41-42-43
Extraction_sand_lw,Landscape_geo_sand_for_fill,0,2019,England,2,40,0,0,nan,nan
Extraction_gravel_lw,Landscape_geo_gravel_for_fill,0,2019,England,3,41,0,0,nan,nan
Extraction_crushed_rock_lw,Landscape_geo_crushed_rock_for_fill,0,2019,England,4,42,0,0,nan,nan
Extraction_sand_md,Landscape_geo_sand_for_fill,0,2019,England,5,40,0,0,nan,nan
