Process,quantity,time,location,massconserved,Processnumber,ParentProcess,Subprocessnumbers
Buildings,20524.52654,2019,England,1,6,1,33-34-35-36-37
Buildings_Sand,1687,2019,England,1,33,0,nan
Buildings_Gravel,2530,2019,England,1,34,0,nan
Buildings_Crushed_Rock,7885,2019,England,1,35,0,nan
Buildings_steel,1906.065,2020,England,1,36,0,nan
Buildings_cement,6516.461538,2022,England,1,37,0,nan
Landscape_geo,38789,2025,England,1,8,1,40-41-42-43
Landscape_geo_sand_for_fill,5371,2026,England,1,40,0,nan
Landscape_geo_gravel_for_fill,8057,2027,England,1,41,0,nan
Landscape_geo_crushed_rock_for_fill,25111,2028,England,1,42,0,nan
Landscape_geo_scalpings_and_fines,250,2029,England,1,43,0,nan
Other_aggregate_and_non_aggregate_use,40000,2019,England,1,7,1,38-39
Other_aggregate_use,36000,2019,England,1,38,0,nan
Non_aggregate_use,4000,2019,England,1,39,0,nan
Landfill,15000,2019,England,1,46,0,nan
owp,4750,2019,England,1,10,1,47-48
owp_scalpings_fines,250,2019,England,1,48,0,nan
owp_overburden_interburden,4500,2019,England,1,47,0,nan
