From_top,To_top,Processnumbersfromtop,Processnumberstotop,From_bottom,To_bottom,Processnumbersfrombottom,Processnumberstobottom,ratio
Sand_pr,Concrete_sand,13,20,Upstream_processing,Concrete_sand,13-14-15-16-17-18-19,20,0.7
Secondary_aggregates_pr,Concrete_sand,16,20,Upstream_processing,Concrete_sand,13-14-15-16-17-18-19,20,0
C&D_waste_pr,Concrete_sand,17,20,Upstream_processing,Concrete_sand,13-14-15-16-17-18-19,20,0.3
Import_sand_lw,Concrete_sand,51,20,Import,Concrete_sand,51-52-53-54-55-56-57-58-59-60,20,0.9
Import_sand_md,Concrete_sand,54,20,Import,Concrete_sand,51-52-53-54-55-56-57-58-59-60,20,0.1
Gravel_pr,Concrete_gravel,14,21,Upstream_processing,Concrete_gravel,13-14-15-16-17-18-19,21,0.7
C&D_waste_pr,Concrete_gravel,17,21,Upstream_processing,Concrete_gravel,13-14-15-16-17-18-19,21,0.3
Crushed_rock_pr,Concrete_crushed_rock,15,22,Upstream_processing,Concrete_crushed_rock,13-14-15-16-17-18-19,22,0.7
C&D_waste_pr,Concrete_crushed_rock,17,22,Upstream_processing,Concrete_crushed_rock,13-14-15-16-17-18-19,22,0.3
Terrestrial_reserves,Extraction_clay,0,12,Terrestrial_reserves,Extraction,0,2-3-4-5-6-7-8-9-10-11-12,0
Terrestrial_reserves,Extraction_coal,0,11,Terrestrial_reserves,Extraction,0,2-3-4-5-6-7-8-9-10-11-12,0
Terrestrial_reserves,Extraction_crushed_rock_lw,0,4,Terrestrial_reserves,Extraction,0,2-3-4-5-6-7-8-9-10-11-12,0.6
Terrestrial_reserves,Extraction_dolomite,0,10,Terrestrial_reserves,Extraction,0,2-3-4-5-6-7-8-9-10-11-12,0
Terrestrial_reserves,Extraction_gravel_lw,0,3,Terrestrial_reserves,Extraction,0,2-3-4-5-6-7-8-9-10-11-12,0.2
Terrestrial_reserves,Extraction_gypsum,0,8,Terrestrial_reserves,Extraction,0,2-3-4-5-6-7-8-9-10-11-12,0
Terrestrial_reserves,Extraction_iron_ore,0,9,Terrestrial_reserves,Extraction,0,2-3-4-5-6-7-8-9-10-11-12,0
Terrestrial_reserves,Extraction_limestone,0,7,Terrestrial_reserves,Extraction,0,2-3-4-5-6-7-8-9-10-11-12,0
Terrestrial_reserves,Extraction_sand_lw,0,2,Terrestrial_reserves,Extraction,0,2-3-4-5-6-7-8-9-10-11-12,0.1
Marine_reserves,Extraction_gravel_md,1,6,Marine_reserves,Extraction,1,2-3-4-5-6-7-8-9-10-11-12,0.6
Marine_reserves,Extraction_sand_md,1,5,Marine_reserves,Extraction,1,2-3-4-5-6-7-8-9-10-11-12,0.4
Extraction_coal,Reinforcing_steel_manufacturing,11,19,Extraction,Reinforcing_steel_manufacturing,2-3-4-5-6-7-8-9-10-11-12,19,0.1
Extraction_dolomite,Reinforcing_steel_manufacturing,10,19,Extraction,Reinforcing_steel_manufacturing,2-3-4-5-6-7-8-9-10-11-12,19,0
Extraction_iron_ore,Reinforcing_steel_manufacturing,9,19,Extraction,Reinforcing_steel_manufacturing,2-3-4-5-6-7-8-9-10-11-12,19,0.8
Extraction_limestone,Reinforcing_steel_manufacturing,7,19,Extraction,Reinforcing_steel_manufacturing,2-3-4-5-6-7-8-9-10-11-12,19,0
C&D_waste_pr,Mortar_sand,17,25,Upstream_processing,Mortar_sand,13-14-15-16-17-18-19,25,0.3
Sand_pr,Mortar_sand,13,25,Upstream_processing,Mortar_sand,13-14-15-16-17-18-19,25,0.7
Secondary_aggregates_pr,Mortar_sand,16,25,Upstream_processing,Mortar_sand,13-14-15-16-17-18-19,25,0
Buildings_cement,Demolition,37,44,Buildings,Demolition,33-34-35-36-37,44,0.3
Buildings_crushed_rock,Demolition,35,44,Buildings,Demolition,33-34-35-36-37,44,0.4
Buildings_gravel,Demolition,34,44,Buildings,Demolition,33-34-35-36-37,44,0.1
Buildings_sand,Demolition,33,44,Buildings,Demolition,33-34-35-36-37,44,0.1
Buildings_steel,Demolition,36,44,Buildings,Demolition,33-34-35-36-37,44,0
