Process,quantity,time,location,massconserved,Processnumber,ParentProcess,Subprocessnumbers
Extraction,0,2019,England,1,1,1,2-3-4-5-6-7-8-9-10-11-12
Extraction_sand_lw,0,2019,England,1,2,0,nan
Extraction_gravel_lw,0,2019,England,1,3,0,nan
Extraction_crushed_rock_lw,0,2019,England,1,4,0,nan
Extraction_sand_md,0,2019,England,1,5,0,nan
Extraction_gravel_md,0,2019,England,1,6,0,nan
Extraction_limestone,0,2019,England,1,7,0,nan
Extraction_gypsum,0,2019,England,1,8,0,nan
Extraction_iron_ore,0,2019,England,1,9,0,nan
Extraction_dolomite,0,2019,England,1,10,0,nan
Extraction_coal,0,2019,England,1,11,0,nan
Extraction_clay,0,2019,England,1,12,0,nan
Upstream_processing,0,2019,England,1,2,1,13-14-15-16-17-18-19
Sand_pr,0,2019,England,1,13,0,nan
Gravel_pr,0,2019,England,1,14,0,nan
Crushed_rock_pr,0,2019,England,1,15,0,nan
Secondary_aggregates_pr,0,2019,England,1,16,0,nan
C&D_waste_pr,0,2019,England,1,17,0,nan
Cement_manufacturing,0,2019,England,1,18,0,nan
Reinforcing_steel_manufacturing,0,2019,England,1,19,0,nan
Concrete_manufacturing,0,2019,England,1,3,1,20-21-22-23-24
Concrete_sand,0,2019,England,1,20,0,nan
Concrete_gravel,0,2019,England,1,21,0,nan
Concrete_crushed_rock,0,2019,England,1,22,0,nan
Concrete_steel,0,2019,England,1,23,0,nan
Concrete_cement,0,2019,England,1,24,0,nan
Alternative_fuels,0,2019,England,0,61,0,nan
Mortar_manufacturing,0,2019,England,1,4,1,25-26
Mortar_sand,0,2019,England,1,25,0,nan
Mortar_cement,0,2019,England,1,26,0,nan
Concreting_C&D_processing,0,2019,England,1,27,0,nan
Other_infrastructure,nan,2019,England,1,5,1,28-29-30-31-32
Other_infrastructure_sand,nan,2019,England,1,28,0,nan
Other_infrastructure_gravel,nan,2019,England,1,29,0,nan
Other_infrastructure_crushed_rock,nan,2019,England,1,30,0,nan
Other_infrastructure_cement,nan,2019,England,1,31,0,nan
Other_infrastructure_steel,nan,2019,England,1,32,0,nan
Buildings,nan,2019,England,1,6,1,33-34-35-36-37
Buildings_sand,nan,2019,England,1,33,0,nan
Buildings_gravel,nan,2019,England,1,34,0,nan
Buildings_crushed_rock,nan,2019,England,1,35,0,nan
Buildings_steel,nan,2019,England,1,36,0,nan
Buildings_cement,nan,2019,England,1,37,0,nan
Other_aggregate_and_non_aggregate_use,nan,2019,England,1,7,1,38-39
Other_aggregate_use,nan,2019,England,1,38,0,nan
Non_aggregate_use,nan,2019,England,1,39,0,nan
Landscape_geo,nan,2019,England,1,8,1,40-41-42-43
Landscape_geo_sand_for_fill,nan,2019,England,1,40,0,nan
Landscape_geo_gravel_for_fill,nan,2019,England,1,41,0,nan
Landscape_geo_crushed_rock_for_fill,nan,2019,England,1,42,0,nan
Landscape_geo_scalpings_and_fines,nan,2019,England,1,43,0,nan
Demolition,0,2019,England,1,44,0,nan
Deconstruction,0,2019,England,1,45,0,nan
Landfill,nan,2019,England,1,46,0,nan
owp,nan,2019,England,1,10,1,47-48
owp_overburden_interburden,nan,2019,England,1,47,0,nan
owp_scalpings_fines,nan,2019,England,1,48,0,nan
By_product_secondary_aggregates,nan,2019,England,0,49,0,nan
By_product_steel_scraps,nan,2019,England,0,50,0,nan
Import,nan,2019,England,0,11,1,51-52-53-54-55-56-57-58-59-60
Import_sand_lw,nan,2019,England,0,51,0,nan
Import_gravel_lw,nan,2019,England,0,52,0,nan
Import_crushed_rock_lw,nan,2019,England,0,53,0,nan
Import_sand_md,nan,2019,England,0,54,0,nan
Import_gravel_md,nan,2019,England,0,55,0,nan
Import_steel,nan,2019,England,0,60,0,nan
Import_gypsum,nan,2019,England,0,56,0,nan
Import_limestone,nan,2019,England,0,57,0,nan
Import_clinker,nan,2019,England,0,58,0,nan
Import_cement,nan,2019,England,0,59,0,nan
Lithosphere,nan,2019,England,0,0,1,0-1
Terrestrial_reserves,0,2019,England,0,0,0,nan
Marine_reserves,2325,2019,England,0,1,0,nan
